name,X73I1,X73I2,X73I3,X73I4,X73I5,X73I6,X73I7,X73I8,X73I9,X73I10,X73I11,X73I12,X73I13,X73I14,X73I15,X73I16,X73I17,X73I18,X73I19,X73I20,X73I21,X73I22,X73I23,X73I24,X73I25,X73I26,X73I27,X73II1,X73II2,X73II3,X73II4,X73II5,X73II6,X73II7,X73II8,X73II14,X73III1,X73III2,X73III3,X73III16,X84I1,X84I2,X84I3,X84I4,X84I5,X84I6,X84I7,X84I8,X84I9,X84I10,X84I11,X84I12,X84I13,X84I14,X84I15,X84I16,X84I17,X84I18,X84I19,X84I20,X84I21,X84I22,X84I23,X84I24,X84I25,X84I26,X84I27,X84II1,X84II2,X84II3,X84II4,X84II5,X84II6,X84II7,X84II8,X84II14,X84III1,X84III2,X84III3,X84III16,X93I1,X93I2,X93I3,X93I4,X93I5,X93I6,X93I7,X93I8,X93I9,X93I10,X93I11,X93I12,X93I13,X93I14,X93I15,X93I16,X93I17,X93I18,X93I19,X93I20,X93I21,X93I22,X93I23,X93I24,X93I25,X93I26,X93I27,X93II1,X93II2,X93II3,X93II4,X93II5,X93II6,X93II7,X93II8,X93II14,X93III1,X93III2,X93III3,X93III16,X18I1,X18I2,X18I3,X18I4,X18I5,X18I6,X18I7,X18I8,X18I9,X18I10,X18I11,X18I12,X18I13,X18I14,X18I15,X18I16,X18I17,X18I18,X18I19,X18I20,X18I21,X18I22,X18I23,X18I24,X18I25,X18I26,X18I27,X18II1,X18II2,X18II3,X18II4,X18II5,X18II6,X18II7,X18II8,X18II14,X18III1,X18III2,X18III3,X18III16,X03N01,X03N02,X03N03,X03N04,X03N05,X03N06,X03M01,X03M02,X03M03,X03M04,X03M05,X03M06,X03M07,X03M08,X03M09,X03M10,X03M11,X03M12,X03M13,X03M14,X03M15,X03M16,X03M17,X03M18,X03S01,X03S02,X03S03,X03S04,X03S05,X03S06,X03S07,X03S08,X03S09,X03S10,X03S11,X03S12,X03S13,X03S14,X03S15,X03S16,X03S17,X03S18,X18N01,X18N02,X18N03,X18N04,X18N05,X18N06,X18M01,X18M02,X18M03,X18M04,X18M05,X18M06,X18M07,X18M08,X18M09,X18M10,X18M11,X18M12,X18M13,X18M14,X18M15,X18M16,X18M17,X18M18,X18S01,X18S02,X18S03,X18S04,X18S05,X18S06,X18S07,X18S08,X18S09,X18S10,X18S11,X18S12,X18S13,X18S14,X18S15,X18S16,X18S17,X18S18
Linaria_vulgaris,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linum_catharticum,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,1,2,3,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,1,4,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linum_perenne,0,0,0,0,0,0,0,30,0,4,0,5,6,53,0,66,49,19,5,1,5,0,0,1,0,2,1,0,0,0,0,0,0,0,30,0,0,0,0,24,0,1,0,0,0,0,1,30,18,7,0,23,30,50,7,0,15,31,26,10,10,0,0,15,0,2,2,0,0,0,0,0,0,1,16,4,0,1,0,24,1,0,0,0,0,0,1,19,61,13,0,5,24,41,6,47,60,67,62,59,57,9,12,56,2,2,2,0,0,0,0,1,0,4,72,71,3,9,0,5,0,0,3,14,0,0,5,4,0,4,3,2,4,3,1,6,0,6,0,3,2,0,9,4,2,5,2,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0
Lotus_corniculatus_ssp_corniculatus,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,9,0,1,10,0,5,1,5,5,0,3,2,5,4,7,0,0,7,3,0,0,4,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,20,0,6,5,16,6,7,18,1,2,7,2,2,1,1,1,13,7,0,2,2,1,1,0,0,0,2,0,0,2,8,1,1,0,0,0,0,0,5,12,0,1,0,0,0,4,4,1,0,1,0,1,0,0,0,0,2,4,2,1,3,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,2,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,4,1,1,0,1,1,1,1,1,3,3,4,4,15,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0
Lotus_corniculatus_ssp_hirsutus,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,4,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Medicago_falcata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Molinia_caerulea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peucedanum_oreoselinum,0,25,16,22,7,19,25,17,32,14,21,6,10,6,15,3,28,10,6,15,30,17,11,5,5,16,8,5,6,17,9,17,14,20,13,5,18,12,8,3,2,25,13,29,16,10,18,2,29,20,20,16,18,20,35,8,11,20,28,25,0,26,43,29,9,32,20,18,12,17,7,20,7,22,4,36,27,14,10,16,8,48,43,26,35,14,24,27,35,41,23,36,33,27,33,3,21,42,32,33,14,34,48,36,20,45,35,38,45,32,38,27,25,26,17,59,58,8,17,36,21,14,10,12,11,22,4,21,5,20,8,22,18,4,13,24,8,11,9,22,8,6,21,11,8,14,13,4,14,17,5,9,13,8,5,7,21,4,5,12,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,3,2,1,2,2,1,2,2,4,1,2,2,0,2,0,1,1,1,2,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,1,1,2,2,2,1,1,1
Pilosella_macrantha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pilosella_officinarum,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pimpinella_saxifraga,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,2,2,0,2,4,0,0,1,1,1,2,0,0,0,0,5,0,0,0,18,2,1,0,0,2,0,3,0,1,4,1,0,1,0,0,0,0,0,0,0,0,3,0,4,13,0,2,0,4,4,0,0,3,18,2,5,1,1,1,0,9,0,8,0,9,2,2,1,10,0,7,1,0,2,0,5,5,3,0,0,0,0,0,0,2,1,0,0,1,0,1,0,2,5,0,0,1,0,0,2,2,1,3,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Plantago_lanceolata,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
